
> sol-analytics-backend@1.0.0 start
> tsx src/index.ts

🚀 Sol Analytics API server running on port 3001
📊 Health check: http://localhost:3001/health
🔌 API endpoints:
   - Protocols: http://localhost:3001/api/protocols
   - Data Update: http://localhost:3001/api/data-update
Total rows actually inserted for bullx.csv: 410
Batch 1 inserted successfully! Rows inserted in this batch: 339
All data from moonshot.csv inserted successfully!
Total rows actually inserted for moonshot.csv: 339
2025-06-19T08:32:26.678Z - GET /api/data-update/status
Batch 1 inserted successfully! Rows inserted in this batch: 500
Batch 1 inserted successfully! Rows inserted in this batch: 476
All data from soltradingbot.csv inserted successfully!
Total rows actually inserted for soltradingbot.csv: 476
Batch 1 inserted successfully! Rows inserted in this batch: 500
Batch 1 inserted successfully! Rows inserted in this batch: 457
All data from gmgnai.csv inserted successfully!
Total rows actually inserted for gmgnai.csv: 457
Batch 1 inserted successfully! Rows inserted in this batch: 245
All data from bloom.csv inserted successfully!
Total rows actually inserted for bloom.csv: 245
Batch 1 inserted successfully! Rows inserted in this batch: 500
2025-06-19T08:32:26.775Z - GET /api/data-update/status
Batch 2 inserted successfully! Rows inserted in this batch: 164
All data from bonkbot.csv inserted successfully!
Total rows actually inserted for bonkbot.csv: 664
Batch 2 inserted successfully! Rows inserted in this batch: 249
All data from banana.csv inserted successfully!
Total rows actually inserted for banana.csv: 749
Batch 2 inserted successfully! Rows inserted in this batch: 32
All data from trojan.csv inserted successfully!
Total rows actually inserted for trojan.csv: 532
Batch 2 inserted successfully! Rows inserted in this batch: 25
All data from photon.csv inserted successfully!
Total rows actually inserted for photon.csv: 525
Imported 14/14 protocols successfully
Total rows imported: 5406
2025-06-19T08:32:26.864Z - GET /api/data-update/status
2025-06-19T08:32:26.962Z - GET /api/data-update/status
2025-06-19T08:32:27.063Z - GET /api/data-update/status
2025-06-19T08:32:27.164Z - GET /api/data-update/status
2025-06-19T08:32:27.269Z - GET /api/data-update/status
2025-06-19T08:32:27.367Z - GET /api/data-update/status
2025-06-19T08:32:27.456Z - GET /api/data-update/status
2025-06-19T08:32:27.561Z - GET /api/data-update/status
2025-06-19T08:32:27.663Z - GET /api/data-update/status
2025-06-19T08:32:27.755Z - GET /api/data-update/status
2025-06-19T08:32:27.865Z - GET /api/data-update/status
