formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
16/03/2024,2.4075426688912544e+07,4064,780,45128
15/03/2024,1.3431121936016401e+07,3978,835,45465
14/03/2024,9.076776479715083e+06,3550,635,40187
13/03/2024,6.576616445106534e+06,3031,410,33423
12/03/2024,4.812589961316448e+06,2877,388,28171
11/03/2024,4.796986494306656e+06,2888,429,31056
10/03/2024,4.496461819828477e+06,2658,419,35502
09/03/2024,4.011658543284408e+06,2381,328,27658
08/03/2024,3.66400208508699e+06,2396,306,26407
07/03/2024,3.373589157054219e+06,2337,313,24208
06/03/2024,3.836412825616381e+06,2450,390,27727
05/03/2024,2.916135851345658e+06,2157,301,21224
04/03/2024,2.704110209585549e+06,2012,269,19590
03/03/2024,2.174757534837315e+06,1776,237,17527
02/03/2024,1.837341628752716e+06,1522,156,16658
01/03/2024,1.4921730788343393e+06,1403,159,11546
29/02/2024,1.0884888574613521e+06,1238,95,11454
28/02/2024,1.1523999725773653e+06,1493,160,13014
27/02/2024,990091.2485087684,1392,166,13479
26/02/2024,896427.9339371483,1314,134,11011
25/02/2024,731743.5703928603,1093,83,10275
24/02/2024,733663.6996125954,1097,97,9918
23/02/2024,974952.930423368,1317,132,11945
22/02/2024,977370.5658113005,1391,144,12535
21/02/2024,1.154404297442733e+06,1462,133,13611
20/02/2024,1.1678285937523083e+06,1447,112,13192
19/02/2024,1.387929198824201e+06,1562,153,14723
18/02/2024,1.191052185277759e+06,1349,124,13083
17/02/2024,1.2202792410786683e+06,1457,148,14569
16/02/2024,1.564623773596704e+06,1667,158,17530
15/02/2024,2.1793799249600885e+06,1831,245,20642
14/02/2024,1.6158815343011734e+06,1671,206,16673
13/02/2024,1.8482529074173342e+06,1682,154,18503
12/02/2024,2.398923406699813e+06,1860,204,22673
11/02/2024,1.7041843649016744e+06,1536,146,17861
10/02/2024,1.393714515807414e+06,1410,125,15002
09/02/2024,1.5501906228410215e+06,1643,211,17675
08/02/2024,1.8039652904375307e+06,1788,281,19446
07/02/2024,2.087796092579015e+06,1864,292,21187
06/02/2024,1.6740606174288276e+06,1624,173,16644
05/02/2024,1.4965284132259192e+06,1548,203,11114
04/02/2024,2.380382405731834e+06,1686,222,15650
03/02/2024,1.9541903741646507e+06,1880,279,19507
02/02/2024,2.9453132912841644e+06,2187,291,22566
01/02/2024,4.88575762817166e+06,2553,495,31422
31/01/2024,2.9519738861926137e+06,2093,306,19399
30/01/2024,3.207174685006422e+06,2147,380,21767
29/01/2024,3.1497255761774685e+06,2098,302,22487
28/01/2024,4.258991651315345e+06,2114,414,25472
27/01/2024,2.3099408220078493e+06,1777,317,17370
26/01/2024,3.7773255506648715e+06,2164,460,22926
25/01/2024,2.268740825514093e+06,1951,377,19844
24/01/2024,2.3319089349643425e+06,1897,363,19506
23/01/2024,1.9430167082521957e+06,1674,285,16734
22/01/2024,1.9391004457169613e+06,1810,388,16425
21/01/2024,3.844894596612733e+06,2037,559,21290
20/01/2024,2.8171245791657176e+06,1853,582,19896
19/01/2024,1.4330302319085482e+06,1419,387,13160
18/01/2024,1.9417079771497755e+06,1550,527,13881
17/01/2024,1.3874775296842132e+06,1442,564,11988
16/01/2024,1.3961159723007588e+06,1671,1227,11775
15/01/2024,500540.82469638286,772,667,3278
14/01/2024,94738.27604730695,99,43,480
13/01/2024,71840.29325745386,83,38,321
12/01/2024,72754.32452817658,58,33,342
11/01/2024,65848.14859023862,38,18,281
10/01/2024,28134.9432771675,24,13,167
09/01/2024,9829.319986376287,23,21,99
08/01/2024,8.78212486485,4,4,73
07/01/2024,0,0,0,0
06/01/2024,0,0,0,0
05/01/2024,0,0,0,0
04/01/2024,0,0,0,0
03/01/2024,0,0,0,0
02/01/2024,0,0,0,0
01/01/2024,0,0,0,0
31/12/2023,0,0,0,0
30/12/2023,0,0,0,0
29/12/2023,0,0,0,0
28/12/2023,0,0,0,0
27/12/2023,0,0,0,0
