formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,solanaVolumeUSD,baseVolumeUSD,bscVolumeUSD,solanaNumberOfUsers,baseNumberOfUsers,bscNumberOfUsers,numberOfReturningUsers,feesUSD,feesSOL,feesETH,feesBNB,numberOfTrades,numberOfPairs,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
07/01/2025,2.67518071332308e+07,4483,1081,2.6751568178045414e+07,238.9551853896548,0,4482,1,0,3402,230629.65501256188,1097.666217491005,-0.06504824276753036,0,95189,10269,29790,0,0,0,0
08/01/2025,2.6053954642706614e+07,4761,1330,2.60539012789367e+07,53.363769912940654,0,4760,1,0,3431,230313.9434223305,1171.2479075230012,1.2000000000000002e-05,0,98295,9785,31120,0,0,0,0
09/01/2025,2.475075400161322e+07,4519,1124,2.47500306396371e+07,723.3619761171494,0,4517,2,0,3395,220617.9851150515,1155.527109333002,0.000253,0,101582,9912,32244,0,0,0,0
10/01/2025,2.2361036839858823e+07,4671,1206,2.2359964779703163e+07,1072.0601556608683,0,4670,1,0,3465,193142.98572185906,1023.6549030470014,0,0,95252,14998,33450,0,0,0,0
11/01/2025,2.264343646146979e+07,4634,1236,2.2642482066984493e+07,954.3944853006989,0,4630,4,0,3398,193029.9181089805,1029.1255424280037,0.0011340010000000001,0,93127,11159,34686,0,0,0,0
12/01/2025,2.378840383302307e+07,4419,946,2.3788385008059528e+07,18.824963542285765,0,4417,2,0,3473,210105.82225060996,1115.3875841650065,5.08e-05,0,98406,9691,35632,0,0,0,0
13/01/2025,1.7432726072868846e+07,4303,907,1.743169884550839e+07,1027.227360457871,0,4302,1,0,3396,154716.07990148704,852.374759054001,0.0001,0,75968,8531,36539,0,0,0,0
14/01/2025,2.3726119405298155e+07,5118,1455,2.372528518804707e+07,834.2172510841885,0,5116,2,0,3663,209284.64072891913,1123.9467290370064,0.002394,0,105828,11450,37994,0,0,0,0
15/01/2025,2.3047061251950894e+07,4972,1210,2.303690608155426e+07,10155.170396633419,0,4969,3,0,3762,199890.94747843567,1020.1677528110012,0.01837,0,88488,9341,39204,0,0,0,0
16/01/2025,2.640451238640982e+07,4911,1078,2.640437612963082e+07,136.2567790003533,0,4908,3,0,3833,230109.6361903171,1104.4423347800027,0.00024,0,93927,10536,40282,0,0,0,0
17/01/2025,2.8447622469789054e+07,4936,1201,2.8446655295293424e+07,967.1744956304044,0,4932,4,0,3735,245068.99873077945,1131.6610761600039,0.001559,0,86286,8689,41483,0,0,0,0
18/01/2025,4.563804652953436e+07,5785,1493,4.56354674445581e+07,2579.084976257696,0,5779,6,0,4292,401395.9979773167,1682.392886139008,0.00345,0,94311,8807,42976,0,0,0,0
19/01/2025,6.03468980733405e+07,6421,1656,6.0346275448573634e+07,622.6247668602073,0,6420,1,0,4765,513891.18696878245,1914.9270138840068,0.0009,0,117849,10668,44632,0,0,0,0
20/01/2025,7.026313808528766e+07,6447,1540,7.02631030108094e+07,35.07447826588182,0,6446,1,0,4907,605352.0668505458,2417.420187492012,0,0,138064,11760,46172,0,0,0,0
21/01/2025,6.2810925561594345e+07,6018,1417,6.2810854763647616e+07,70.79794672817879,0,6017,1,0,4601,546310.1220118629,2241.1959851500046,0.0001,0,130660,10180,47589,0,0,0,0
22/01/2025,5.090937523827073e+07,6230,1575,5.088201478327317e+07,27360.454997568053,0,6225,5,0,4655,445789.10729341966,1728.1010029710149,0.05922199999999999,0,125386,10926,49164,0,0,0,0
23/01/2025,9.247872877178249e+07,7003,1706,9.24589763254472e+07,19752.446335284025,0,6997,6,0,5297,806077.6489814682,3214.7930265540126,0.034069999999999996,0,175943,12410,50870,0,0,0,0
24/01/2025,7.678336568125363e+07,7055,1725,7.6742976469641e+07,40389.21161262547,0,7028,27,0,5330,671450.9653084378,2599.0826891890097,0.05042648527609049,0,159932,11499,52595,0,0,0,0
25/01/2025,5.752655524226773e+07,6195,1320,5.750062682363265e+07,25928.418635070528,0,6184,11,0,4875,502031.9677446723,1976.427552013008,0.06533632111789817,0,140645,10202,53915,0,0,0,0
26/01/2025,6.077496532770459e+07,6148,1176,6.075408864355748e+07,20876.68414711992,0,6137,11,0,4972,528840.4933299205,2073.336067271004,0.039639999999999995,0,153557,11172,55091,0,0,0,0
27/01/2025,5.844052503110103e+07,6673,1443,5.808609428728015e+07,354430.7438208995,0,6638,35,0,5230,513687.4726106371,2201.1972015690144,0.5614265944772001,0,160404,10912,56534,0,0,0,0
28/01/2025,5.705216777008951e+07,7025,1901,5.693277133391849e+07,119396.43617100897,0,6990,35,0,5124,495141.32387350185,2110.515177561013,0.21252500000000007,0,163463,11519,58435,0,0,0,0
29/01/2025,5.32207768833594e+07,6837,1635,5.312252921293654e+07,98247.6704228669,0,6813,24,0,5202,463968.64504046127,2008.1714577940133,0.13850722404578364,0,152428,11952,60070,0,0,0,0
30/01/2025,1.097985936935048e+08,8060,1993,1.0967566471325219e+08,122928.98025260084,0,8032,28,0,6067,945155.9422535588,3961.038110674016,0.12668043563999998,0,218193,12896,62063,0,0,0,0
31/01/2025,6.5278646166545756e+07,8106,2196,6.526072503557536e+07,17921.130970399718,0,8087,19,0,5910,564553.398611492,2396.4162470190167,0.038199213,0,190427,15100,64259,0,0,0,0
01/02/2025,3.927737624206754e+07,6364,1325,3.926802706207175e+07,9349.179995806891,0,6349,15,0,5039,338775.63623966335,1494.8402519820004,0.008162031748840544,0,136498,10354,65584,0,0,0,0
02/02/2025,1.9369306862819582e+07,4827,676,1.936354493690499e+07,5761.925914589786,0,4819,8,0,4151,169103.11643861362,811.9827603650033,0.010201,0,88157,8549,66260,0,0,0,0
03/02/2025,2.6273872224819798e+07,5445,927,2.622164578376866e+07,52226.441051135494,0,5425,20,0,4518,234662.87241022743,1137.2516315430018,0.09846300000000001,0,118802,15082,67187,0,0,0,0
04/02/2025,3.557161496757582e+07,6290,1238,3.5563251858901896e+07,8363.108673925317,0,6279,11,0,5052,311535.1035738033,1472.9649009300035,0.015590999999999992,0,128211,13316,68425,0,0,0,0
05/02/2025,3.513919819338253e+07,6626,1317,3.511925475427747e+07,19943.439105066456,0,6609,17,0,5309,303652.39261682495,1496.3928274210048,0.037936829299124494,0,130090,11065,69742,0,0,0,0
06/02/2025,2.194033633969466e+07,5698,1007,2.1871654916592833e+07,68681.42310182787,0,5671,27,0,4691,190381.73533666195,968.7388316680014,0.11210893543348344,0,98378,8339,70749,0,0,0,0
07/02/2025,2.5605607973918602e+07,5629,988,2.552438445237283e+07,81223.52154576965,0,5609,20,0,4641,221949.64654110695,1138.226388815001,0.151329336466,0,105961,8368,71737,0,0,0,0
08/02/2025,1.9248782088083126e+07,4872,811,1.9230817930189062e+07,17964.157894059284,0,4858,14,0,4061,169591.83041815826,865.5508695330036,0.0204019,0,87906,7236,72548,0,0,0,0
09/02/2025,3.869923359669775e+07,5605,876,3.868903733219453e+07,10196.264503219829,0,5593,12,0,4729,343304.6878999899,1704.1807153970094,0.02223511,0,115243,8205,73424,0,0,0,0
10/02/2025,5.144634667762598e+07,6444,1288,5.1311977360014424e+07,134369.31761153962,0,6425,19,0,5156,438086.57097515516,2162.1874785540085,0.24469650000000004,0,137561,8741,74712,0,0,0,0
11/02/2025,4.017690836357441e+07,6349,1330,4.0149678941184156e+07,27229.422390246917,0,6333,16,0,5019,353132.3904100038,1764.1828622730122,0.044580000000000015,0,140241,9236,76042,0,0,0,0
12/02/2025,3.3051575036694482e+07,6152,1209,3.3033229559487715e+07,18345.47720676643,0,6145,7,0,4943,290473.78525491885,1485.4076757400053,0.03115,0,120914,10070,77251,0,0,0,0
13/02/2025,2.633714434536743e+07,5722,1178,2.493377710586336e+07,16254.706978072774,1.3871125325260079e+06,5578,8,136,4544,232545.42900600907,1131.3585961310075,0.041006833155979396,18.65550716000554,97704,9092,78429,0,0,0,0
14/02/2025,3.0746155408099134e+07,5405,898,3.04469227525179e+07,3828.6151233108444,295404.0404579163,5331,3,71,4507,266342.0425961267,1323.1044923950046,0.000600218443037,4.035682080331074,96468,8941,79327,0,0,0,0
15/02/2025,1.7447496647417035e+07,4270,628,1.73633699212027e+07,15974.676683367386,68152.04953096532,4231,5,34,3642,153211.0578115499,778.0969305610014,0.018009999999999998,0.9613261286496905,74195,7038,79955,0,0,0,0
16/02/2025,1.348714848308782e+07,4039,527,1.3427530116352912e+07,5583.5099455629115,54034.85678934695,4008,3,28,3512,120463.90570866545,625.2460920500006,0.007,0.7753985612973083,73287,7879,80482,0,0,0,0
17/02/2025,1.3478070154082045e+07,4291,586,1.3468488633733407e+07,9457.315867384576,124.20448125293863,4283,6,2,3705,122154.80956027332,669.3395665600004,0.024651990099,0.001844650642201877,79238,7796,81068,0,0,0,0
18/02/2025,1.4181769684911923e+07,4353,567,1.3970910063874641e+07,155984.2214084806,54875.39962880492,4286,28,39,3786,127087.74879285212,742.5141432440035,0.27022116023100007,0.7980929055436401,70044,6703,81635,0,0,0,0
19/02/2025,1.403309814882669e+07,4564,613,1.3880189935046908e+07,89256.37923246282,63651.83454731884,4508,22,34,3951,126328.83270413964,739.9195166300004,0.19605632337166856,0.9192200560605609,74140,7177,82248,0,0,0,0
