formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
23/10/2024,1.786779782102093e+07,3735,488,62774
22/10/2024,1.4491218251018424e+07,3809,603,61831
21/10/2024,1.5338981158214817e+07,3619,502,59806
20/10/2024,9.258730117149798e+06,3169,390,46259
19/10/2024,1.651045577683961e+07,3554,573,65557
18/10/2024,1.0379749759899113e+07,3388,597,51205
17/10/2024,1.0321411887038147e+07,3300,514,49260
16/10/2024,1.046075008659217e+07,3409,628,52155
15/10/2024,9.151063637725001e+06,3213,564,45638
14/10/2024,1.005822874380066e+07,3167,623,45590
13/10/2024,8.105755834829078e+06,2661,457,37961
12/10/2024,6.03820282565651e+06,2564,482,35506
11/10/2024,6.06985928955211e+06,2598,578,34289
10/10/2024,5.295534634714868e+06,2657,886,34311
09/10/2024,6.238073313012605e+06,2742,2742,36601
