formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,ethereumVolumeUSD,baseVolumeUSD,avalancheVolumeUSD,bscVolumeUSD,arbitrumVolumeUSD,ethereumNumberOfUsers,baseNumberOfUsers,avalancheNumberOfUsers,bscNumberOfUsers,arbitrumNumberOfUsers,numberOfReturningUsers,numberOfTrades,numberOfPairs,buyVolumeUSD,sellVolumeUSD,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
26/04/2025,4.414341969840381e+06,1540,128,750831.9999339074,3.4414553326876718e+06,2879.9924821533978,219174.64473664982,0,463,1023,7,174,0,1412,10504,794,1.968410350854452e+06,2.44593161898593e+06,229759,0,0,0,0
27/04/2025,3.494631319013032e+06,1501,147,625053.2167751492,2.7671998049391527e+06,93.86521312317798,102284.43208560969,0,403,1058,3,127,0,1354,11282,865,1.52251488774661e+06,1.9721164312664226e+06,229906,0,0,0,0
28/04/2025,4.737067136983359e+06,1656,109,551269.3380605305,3.705246913052074e+06,233.28494076043592,480317.60092999414,0,375,1161,4,263,0,1547,13111,884,1.806637215677638e+06,2.930429921305722e+06,230015,0,0,0,0
29/04/2025,4.952742520430025e+06,1711,78,643808.8007622242,3.847132901408603e+06,2478.7464361027855,459322.07182309433,0,381,1253,13,215,0,1633,13054,888,1.8825554782674315e+06,3.070187042162593e+06,230093,0,0,0,0
30/04/2025,4.1392126587245404e+06,1640,191,433220.3731299812,2.625417070531739e+06,4975.034018783864,1.0756001810440372e+06,0,430,1089,17,229,0,1449,9105,774,1.5725620449451352e+06,2.566650613779406e+06,230284,0,0,0,0
01/05/2025,3.893152963431088e+06,1781,313,525100.2899850222,3.090754802675089e+06,72340.00574234706,204957.86502863167,0,448,1196,47,209,0,1468,10646,756,1.4349623165527403e+06,2.458190646878348e+06,230597,0,0,0,0
02/05/2025,2.8863381955518494e+06,1528,139,645657.5825868071,2.0097398364209002e+06,5570.255247787964,225370.52129635305,0,448,958,8,184,0,1389,7551,738,1.037006779293075e+06,1.8493314162587728e+06,230736,0,0,0,0
03/05/2025,3.3751713257705662e+06,1401,102,776432.9167778837,2.4241448367490307e+06,399.6254079299193,174193.94683572394,0,429,863,4,188,0,1299,7880,668,1.1952718289398523e+06,2.1798994968307163e+06,230838,0,0,0,0
04/05/2025,3.58549643389639e+06,1496,139,1.0328904067050697e+06,2.164199644392767e+06,143.19421672441885,388263.18858182774,0,477,860,5,274,0,1357,9254,705,1.3158624493316829e+06,2.2696339845647053e+06,230977,0,0,0,0
05/05/2025,4.597014761012184e+06,1752,148,470648.3009519297,3.3046291435324107e+06,1144.9065992436085,820592.4099285986,0,410,1122,14,367,0,1604,11307,722,1.8309923820341632e+06,2.7660223789780205e+06,231125,0,0,0,0
